,Descrição,Resultado esperado,Status,Link para o relatório de bug
POST /api/v1/kits/{id}/products,,,,
,"Enviar requisiçao POST para inserir um item no  KIT: 
 {
    ""productsList"": [
        {
            ""id"": 1,
            ""quantity"": 1
        }
    ]
}",Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,Item adicionado com sucesso,,
,"Enviar requisiçao POST para adicionar mais quantidade ao item no  KIT: 
 {
    ""productsList"": [
        {
            ""id"": 1,
            ""quantity"": 50
        }
    ]
}",Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,Quantidade  de itens adicionado com sucesso,,
,"Enviar requisiçao POST para Reduzir a quantidade de items no  KIT: 
 {
    ""productsList"": [
        {
            ""id"": 1,
            ""quantity"": -50
        }
    ]
}",Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,Quantidade de itens reduzida com sucesso,,
,"Enviar requisiçao POST Com o campo ""ID""vazio"" no  KIT: 
 {
    ""productsList"": [
        {
            ""id"": ,
            ""quantity"": 1
        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,"https://lnzzepphyr-1709991917578.atlassian.net/issues/S4-1?atlOrigin=eyJpIjoiNjFiZjZhOTdhZjUzNDQ0OThjNWU3NmY5MDVhOTRiY2EiLCJwIjoiaiJ9&jql=project%20%3D%20""S4""%20ORDER%20BY%20created%20DESC"
,,Não há erros na estrutura da resposta,,
,,Nao e possivel adicionar um item sem uma ID,,
,"Enviar requisiçao POST Com letras no campo ""ID"" no  KIT: 
 {
    ""productsList"": [
        {
            ""id"": ""Batata"",
            ""quantity"": 1
        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-2
,,Não há erros na estrutura da resposta,,
,,Nao e possivel adicionar um item com letras no lugar do ID,,
,"Enviar requisiçao POST Com Simblos  no campo ""ID"" no  KIT: 
 {
    ""productsList"": [
        {
            ""id"": ""!@#"",
            ""quantity"": 1
        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-3
,,Não há erros na estrutura da resposta,,
,,Nao e possivel adicionar um item com Simbolos no lugar do ID,,
,"Enviar requisiçao POST Sem numeros  no campo ""ID"" no  KIT: 
 {
    ""productsList"": [
        {
            ""id"":,
            ""quantity"": 1
        }
    ]
}",Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,Nao e possivel adicionar um item sem numeros no lugar do ID,,
,"Enviar requisiçao POST Excluindo o campo ""ID"" no  KIT: 
 {
    ""productsList"": [
        {
   
            ""quantity"": 1
        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,
,,Não há erros na estrutura da resposta,,
,,Nao e possivel adicionar um item sem o campo ID,,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-4
,"Enviar requisiçao POST Sem numeros no campo ""quantity"" no kit
 {
    ""productsList"": [
        {
            ""id"":1,
            ""quantity"": 
        }
    ]
}",Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,Nao e possivel adicionar um item sem numeros no lugar do quantity,,
,"Enviar requisiçao POST Com letras no campo ""quantity"" no kit
 {
    ""productsList"": [
        {
            ""id"":1,
            ""quantity"": ""batata""
        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-5
,,Não há erros na estrutura da resposta,,
,,Nao e  possivel adicionar um item com letras no campo quantity,,
,"Enviar requisiçao POST Com simbolos no campo ""quantity"" no kit
 {
    ""productsList"": [
        {
            ""id"":1,
            ""quantity"": ""!@#!@#""
        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-6
,,Não há erros na estrutura da resposta,,
,,Nao e  possivel adicionar um item com simbolos no campo quantity,,
,"Enviar requisiçao POST Excluindo o campo ""quantity"" no  KIT: 
  {
    ""productsList"": [
        {
            ""id"":1,
        
        }
    ]
}

",Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,Nao e possivel adicionar um item sem o campo quantity,,
,"Enviar requisiçao POST Excluindo o campo ""quantity"" no  KIT: 
  {
    ""productsList"": [
        {
            ""id"":1,
        
        }
    ]
}

",Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,Nao e possivel adicionar um item sem o campo quantity,,
,"Enviar requisiçao POST Apagando  o  campo ""ID"" e o ""quantity""
 {
    ""productsList"": [
        {

        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,
,,Não há erros na estrutura da resposta,,
,,"Nao e  possivel adicionar um item Sem os campos  ""ID"" e o ""quantity""",,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-7
,"Enviar requisiçao POST Valor super longo (mínimo de 30 caracteres) ao item no  KIT: 
 {
    ""productsList"": [
        {
            ""id"": 012345678901234567890123456789,
            ""quantity"": 50
        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,
,,Não há erros na estrutura da resposta,,
,,Impossivel criar item com valores super longos ,,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-40
,"Enviar requisiçao POST Valor super longo (mínimo de 30 caracteres) ao item no  KIT: 
 {
    ""productsList"": [
        {
            ""id"": 1,
            ""quantity"":012345678901234567890123456789
        }
    ]
}",Código de resposta e status 200 OK,REPROVADO,
,,Não há erros na estrutura da resposta,,
,,Impossivel criar item com valores super longos ,,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-41
,"Enviar requisiçao POST  ""productsList"": teste com uma matriz vazia {""productsList"":[]}  ao item no  KIT: 
 {
    ""productsList"": [ ]}",Código de resposta e status 200 OK,REPROVADO,
,,Não há erros na estrutura da resposta,,
,,Impossivel criar item com valores super longos ,,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-42
,"Enviar requisiçao POST  objeto válido em vez de uma matriz {""productsList"":{""id"":1, ""quantidade"":1}}
 {""productsList"":{""id"":1, ""quantidade"":1}}",Código de resposta e status 200 OK,REPROVADO,
,,Não há erros na estrutura da resposta,,
,,Impossivel criar item com valores super longos ,,"https://lnzzepphyr-1709991917578.atlassian.net/jira/software/c/projects/S4/issues/S4-43?filter=allissues&jql=project%20%3D%20""S4""%20ORDER%20BY%20created%20DESC"
,"Enviar requisiçao POST uma string vazia {""productsList"":""""}.}}
 {""productsList"":""""}.}}",Código de resposta e status 200 OK,REPROVADO,
,,Não há erros na estrutura da resposta,,
,,Impossivel criar item com valores super longos ,,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-44
,,,,
Teste da Url /api/v1/kits/{id}/products,,,,
,Enviar requisiçao Post ( /api/v1/kits/{id}/products)  Com ID certo do kit,Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,O kit e gerado,,
,Enviar requisiçao Post ( /api/v1/kits/{id}/products)  Com letras no ID,Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-8
,,Não há erros na estrutura da resposta,,
,,nao e possivel adicionar o kit,,
,Enviar requisiçao Post ( /api/v1/kits/{id}/products)  Com simbolos no ID,Código de resposta e status 200 OK,APROVADO,
